iter	RMSE
0	14.65684812
1	14.35175129
2	14.01546763
3	13.66584762
4	13.33989555
5	13.07236898
6	12.76657997
7	12.51093089
8	12.25744525
9	11.96321996
10	11.6747498
11	11.44337005
12	11.20416612
13	10.98340808
14	10.74749984
15	10.51487218
16	10.31291628
17	10.11616698
18	9.9274921
19	9.731864269
20	9.558812508
21	9.40073118
22	9.237339704
23	9.065768774
24	8.911881148
25	8.758889574
26	8.626393222
27	8.501362589
28	8.367583568
29	8.241098761
30	8.140115354
31	8.012375409
32	7.90509357
33	7.797384287
34	7.691197369
35	7.587407818
36	7.48900897
37	7.412934775
38	7.318810617
39	7.2341272
40	7.146884419
41	7.076207448
42	7.0016169
43	6.937892807
44	6.869701819
45	6.813050507
46	6.750199999
47	6.693110889
48	6.637120191
49	6.581614345
50	6.532628792
51	6.475276383
52	6.426534661
53	6.38410674
54	6.336235427
55	6.296992027
56	6.259780943
57	6.224026317
58	6.191860415
59	6.159859412
60	6.121971307
61	6.089975856
62	6.062958409
63	6.03135993
64	6.000210352
65	5.969027453
66	5.939483687
67	5.909973272
68	5.884857952
69	5.859456722
70	5.831729757
71	5.808794927
72	5.786728575
73	5.763595179
74	5.74303756
75	5.722747237
76	5.707559439
77	5.688232633
78	5.669454403
79	5.650904598
80	5.639725184
81	5.620159318
82	5.597931817
83	5.581683719
84	5.572747019
85	5.561946145
86	5.54817838
87	5.533896438
88	5.519125013
89	5.506665111
90	5.494894244
91	5.484537737
92	5.470763084
93	5.459182871
94	5.449386178
95	5.43567308
96	5.423620123
97	5.415092311
98	5.405698196
99	5.390335196
100	5.379798652
101	5.374380255
102	5.367932915
103	5.356294277
104	5.350801961
105	5.339432164
106	5.331758909
107	5.317408276
108	5.304938636
109	5.293270233
110	5.282613216
111	5.272837461
112	5.266443375
113	5.258734403
114	5.251626786
115	5.245972618
116	5.237143895
117	5.228253176
118	5.218911389
119	5.21421572
120	5.207223591
121	5.201351148
122	5.193014488
123	5.187259852
124	5.183283501
125	5.177278248
126	5.166733615
127	5.160266559
128	5.153668533
129	5.142988086
130	5.137000196
131	5.130944074
132	5.124173166
133	5.119677563
134	5.110520279
135	5.106605627
136	5.097444363
137	5.092999907
