iter	Passed	Remaining
0	1	1324
1	2	1167
2	3	1107
3	4	1067
4	5	1050
5	6	1027
6	9	1277
7	10	1265
8	11	1233
9	12	1208
10	13	1190
11	14	1196
12	15	1182
13	16	1160
14	17	1148
15	18	1137
16	19	1124
17	20	1112
18	21	1103
19	23	1144
20	24	1150
21	25	1143
22	26	1136
23	27	1129
24	28	1122
25	29	1121
26	30	1116
27	31	1110
28	32	1103
29	33	1097
30	34	1089
31	36	1090
32	37	1112
33	39	1113
34	40	1107
35	41	1101
36	42	1095
37	43	1093
38	44	1089
39	45	1084
40	46	1078
41	47	1075
42	48	1071
43	49	1065
44	50	1061
45	53	1109
46	54	1110
47	55	1106
48	56	1102
49	58	1102
50	59	1098
51	60	1094
52	61	1090
53	61	1085
54	62	1080
55	63	1076
56	64	1072
57	66	1086
58	68	1086
59	69	1082
60	70	1078
61	71	1086
62	74	1107
63	75	1104
64	76	1100
65	77	1100
66	78	1096
67	80	1096
68	82	1111
69	83	1109
70	84	1105
71	85	1102
72	86	1098
73	87	1097
74	88	1093
75	89	1088
76	90	1084
77	91	1081
78	92	1076
79	93	1072
80	93	1064
81	95	1073
82	97	1074
83	98	1072
84	98	1065
85	99	1062
86	100	1059
87	101	1056
88	103	1055
89	104	1052
90	104	1048
91	105	1045
92	106	1041
93	107	1037
94	108	1033
95	110	1043
96	112	1043
97	113	1041
98	114	1038
99	115	1036
100	116	1035
101	116	1029
102	117	1026
103	118	1023
104	119	1017
105	120	1014
106	121	1011
107	122	1008
108	122	1005
109	124	1011
110	126	1011
111	127	1009
112	128	1007
113	129	1004
114	130	1002
115	131	1001
116	132	999
117	133	997
118	134	994
119	135	991
120	136	988
121	136	985
122	137	983
123	139	988
124	141	987
125	142	985
126	143	983
127	144	982
128	145	982
129	146	980
130	147	976
131	148	974
132	149	971
133	149	968
134	150	966
135	151	963
136	152	961
137	154	963
138	155	961
139	156	958
140	157	956
141	158	955
142	159	954
143	160	951
144	161	949
145	161	947
146	162	944
147	163	942
148	164	939
149	165	937
150	166	935
151	168	939
152	169	939
153	170	937
154	171	935
155	172	933
156	173	934
157	174	931
158	175	929
159	176	927
160	177	924
161	178	922
162	179	920
163	180	918
164	181	916
165	183	919
166	184	919
167	185	917
168	186	916
169	187	915
170	188	915
171	189	914
172	190	912
173	191	909
174	192	907
175	193	905
176	194	903
177	195	901
178	197	905
179	198	905
180	199	903
181	200	902
182	201	900
183	202	899
184	203	897
185	204	895
186	205	893
187	206	892
188	207	890
189	208	888
190	209	886
191	210	884
192	212	886
